"iso","area__ha","gfw_planted_forests__type"
"BRA",7282313.55548826022136333,"Wood fiber or timber"
"BRA",1685126.43933296523692687,"Unknown"
"BRA",655458.14910591092427348,"Fruit"
"BRA",268031.04197494038168812,"Unknown mix"
"BRA",185072.99856544196468034,"Oil palm"
"BRA",56981.06106900707841509,"Rubber"
